Água Branca,2500106,agua branquense,241662,10306,39.94
Aguiar,2500205,aguiarense,351607,5630,16.04
Alagoa Grande,2500304,alagoa-grandense,322071,28439,88.84
Alagoa Nova,2500403,alagoa-novense,12823,20921,160.98
Alagoinha,2500502,alagoinhense,111361,14560,139.99
Alcantil,2500536,alcantilense,309896,5509,17.15
Algodão de Jandaíra,2500577,algodoense,22274,2577,10.74
Alhandra,2500601,alhandrense,183974,19727,98.58
Amparo,2500734,amparense,122094,2251,17.12
Aparecida,2500775,aparecidense,291478,8416,25.96
Araçagi,2500809,araçagiense,232177,16921,74.51
Arara,2500908,araraense,91306,13542,127.66
Araruna,2501005,ararunense,246717,20463,76.83
Areia,2501104,areiense,26913,22656,88.42
Areia de Baraúnas,2501153,baraunense,114078,2116,20
Areial,2501203,areialense,3581,7027,195.22
Aroeiras,2501302,aroeirense,376118,19116,50.93
Assunção,2501351,assunçãoense,132139,4029,27.86
Baía da Traição,2501401,baianense,102756,9096,78.27
Bananeiras,2501500,bananeirense,255641,21269,84.72
Baraúna,2501534,baraunense,5003,4964,83.43
Barra de Santa Rosa,2501609,santa rosense,781187,15497,18.25
Barra de Santana,2501575,barrasantense,375177,8349,21.77
Barra de São Miguel,2501708,barrense,609697,6065,9.43
Bayeux,2501807,baienense,27705,97203,3118.76
Belém,2501906,belenense,99609,17705,170.67
Belém do Brejo do Cruz,2502003,belenense do brejo do cruz,601549,7349,11.84
Bernardino Batista,2502052,batistense,57453,3536,60.74
Boa Ventura,2502102,boa-venturense,168664,5307,33.71
Boa Vista,2502151,boavistense,468933,7136,13.07
Bom Jesus,2502201,bom-jesuense,47367,2575,50.39
Bom Sucesso,2502300,bom-sucessense,186059,4956,27.35
Bonito de Santa Fé,2502409,bonitense,226798,12022,47.32
Boqueirão,2502508,boqueirãoense,373077,17870,45.4
Borborema,2502706,borboremense,26107,5287,196.74
Brejo do Cruz,2502805,brejo-cruzense,401315,14206,32.9
Brejo dos Santos,2502904,brejo-santense,93857,6464,66.04
Caaporã,2503001,caaporãense,151018,21955,135.59
Cabaceiras,2503100,cabaceirense,469171,5661,11.12
Cabedelo,2503209,cabedelense,29873,68767,1815.57
Cachoeira dos Índios,2503308,cachoeirense (dos Índios),193215,10305,49.44
Cacimba de Areia,2503407,cacimbense (de Areia),213018,3695,16.14
Cacimba de Dentro,2503506,cacimbense (de Dentro),165072,17178,102.32
Cacimbas,2503555,cacimbense,124068,7199,53.85
Caiçara,2503605,caiçarense,123677,7191,56.44
Cajazeiras,2503704,cajazeirense,562703,62289,103.28
Cajazeirinhas,2503753,cajazeirinhense,282693,3205,10.54
Caldas Brandão,2503803,caldas-brandense,55963,6046,100.92
Camalaú,2503902,camalauense,541841,6031,10.57
Campina Grande,2504009,campinense,591658,411807,648.31
Capim,2504033,capiense,79876,6620,71.65
Caraúbas,2504074,caraúbense,486622,4185,7.84
Carrapateira,2504108,carrapateirense,5907,2687,43.61
Casserengue,2504157,cassereguense,202761,7499,35.05
Catingueira,2504207,catingueirense,527424,4935,09.09
Catolé do Rocha,2504306,catoleense,551765,30684,52.09
Caturité,2504355,caturiteense,117823,4875,38.47
Conceição,2504405,conceiçãoense,58065,19007,31.69
Condado,2504504,condadense,265473,6658,23.44
Conde,2504603,condense,171267,25010,123.74
Congo,2504702,congoense,324686,4787,14.06
Coremas,2504801,coremense,372012,15441,39.92
Coxixola,2504850,coxixolense,173942,1935,10.43
Cruz do Espírito Santo,2504900,Santo espírito-santense,192512,17461,83.12
Cubati,2505006,cubatiense,16357,7832,50.13
Cuité,2505105,cuiteense,733818,20334,26.93
Cuité de Mamanguape,2505238,cuiteense,10768,6356,57.19
Cuitegi,2505204,cuitegiense,42091,6775,175.28
Curral de Cima,2505279,curralense de cima,86428,5218,61.21
Curral Velho,2505303,curral-velhense,217624,2512,11.24
Damião,2505352,damiãoense,186198,5370,26.39
Desterro,2505402,desterrense,182018,8315,44.55
Diamante,2505600,diamantense,271791,6528,24.58
Dona Inês,2505709,inesense,173648,10413,63.29
Duas Estradas,2505808,duas-estradense,27012,3582,138.53
Emas,2505907,emense,248226,3539,13.77
Esperança,2506004,esperancense,157851,33199,189.86
Fagundes,2506103,fagundense,185061,11215,60.34
Frei Martinho,2506202,frei-martinhense,238658,2989,12
Gado Bravo,2506251,gadobravense,19242,8303,43.53
Guarabira,2506301,guarabirense,162387,59115,333.8
Gurinhém,2506400,gurinheense,340408,14127,40.08
Gurjão,2506509,gurjaense,344502,3453,9.2
Ibiara,2506608,ibiarense,240357,5903,24.67
Igaracy,2502607,igaraciense,197058,6105,32.02
Imaculada,2506707,imaculadense,317804,11848,35.81
Ingá,2506806,ingaense,262179,18144,63.13
Itabaiana,2506905,itabaianense,210572,24419,111.86
Itaporanga,2507002,itaporanguense,46021,24828,49.55
Itapororoca,2507101,itapororoquense,145806,18823,116.36
Itatuba,2507200,itatubense,251749,11016,41.77
Jacaraú,2507309,jacarauense,256845,14450,55.1
Jericó,2507408,jericoense,177356,7745,42.04
João Pessoa,2507507,pessoense,210044,817511,3421.28
Joca Claudino,2513653,Joca-Claudinense,71799,2639,35.33
Juarez Távora,2507606,tavorense,75678,7976,105.29
Juazeirinho,2507705,juazeirinhense,474606,18298,35.88
Junco do Seridó,2507804,juncoense,180425,7195,38.98
Juripiranga,2507903,juripiranguense,78706,10793,129.84
Juru,2508000,juruense,395075,9849,24.37
Lagoa,2508109,lagoense,176649,4653,26.31
Lagoa de Dentro,2508208,lagoa-dentrense,83508,7737,87.21
Lagoa Seca,2508307,lagoa-sequense,108219,27617,240.73
Lastro,2508406,lastrense,107416,2718,27.67
Livramento,2508505,livramentense,266948,7265,27.53
Logradouro,2508554,logradourense,42876,4369,103.75
Lucena,2508604,lucenense,938,13214,131.88
Mãe d'Água,2508703,mãe-daguense,228676,3999,16.49
Malta,2508802,maltense,17201,5752,35.93
Mamanguape,2508901,mamanguapense,337434,45136,124.23
Manaíra,2509008,manairense,352025,10972,30.52
Marcação,2509057,marcaçãoense,122665,8653,61.91
Mari,2509107,mariense,155265,21866,136.77
Marizópolis,2509156,marizopolense,69952,6654,97.04
Massaranduba,2509206,massarandubense,209402,13998,62.64
Mataraca,2509305,mataraquense,182439,8539,40.19
Matinhas,2509339,matinhense,36522,4515,113.34
Mato Grosso,2509370,matogrossense,85275,2926,32.35
Maturéia,2509396,matureense,83053,6630,70.97
Mogeiro,2509404,mogeirense,214093,13261,64.41
Montadas,2509503,montadense,31793,5738,157.97
Monte Horebe,2509602,horebense,116854,4842,38.8
Monteiro,2509701,monteirense,99262,33433,31.28
Mulungu,2509800,mulunguense,187259,9932,48.48
Natuba,2509909,natubense,202173,10451,51.53
Nazarezinho,2510006,nazarezinhense,193203,7286,38.02
Nova Floresta,2510105,nova-florestense,47572,10626,222.31
Nova Olinda,2510204,nova-olindense,81516,5920,72.04
Nova Palmeira,2510303,nova-palmeirense,314748,4959,14.05
Olho d'Água,2510402,olho-daguense,58047,6462,11.63
Olivedos,2510501,olivedense,314625,3961,11.41
Ouro Velho,2510600,ouro-velhense,12811,3046,22.63
Parari,2510659,parariense,207814,1758,9.78
Passagem,2510709,passagense,123422,2436,19.96
Patos,2510808,patoense,472892,108192,212.82
Paulista,2510907,paulistense,577379,12379,20.43
Pedra Branca,2511004,pedra-branquense,116873,3802,32.95
Pedra Lavrada,2511103,pedra-lavradense,335615,7899,21.26
Pedras de Fogo,2511202,pedras-foguense,406729,28533,67.51
Pedro Régis,2512721,pedroregense,74216,6114,78.37
Piancó,2511301,piancoense,576986,16111,27.38
Picuí,2511400,picuíense,667714,18720,27.54
Pilar,2511509,pilarense,103306,11977,109.29
Pilões,2511608,piloense,65574,6576,108.28
Pilõezinhos,2511707,pilõezinhense,40908,4955,117.42
Pirpirituba,2511806,pirpiritubense,80672,10584,129.33
Pitimbu,2511905,pitimbuense,135801,19275,124.78
Pocinhos,2512002,pocinhense,623967,18708,27.12
Poço Dantas,2512036,poçodantense,97758,3882,38.57
Poço de José de Moura,2512077,pocense,94646,4337,39.4
Pombal,2512101,pombalense,894099,32802,36.13
Prata,2512200,prataense,201788,4238,20.07
Princesa Isabel,2512309,princesense,368569,23549,57.84
Puxinanã,2512408,puxinanaense,71118,13741,177.81
Queimadas,2512507,queimadense,402748,44179,102.17
Quixaba,2512606,quixabense,147158,1983,10.84
Remígio,2512705,remigioense,183459,19798,98.77
Riachão,2512747,riachãoense,85291,3619,36.23
Riachão do Bacamarte,2512754,riachonense,40281,4541,111.13
Riachão do Poço,2512762,riachãoense,4046,4540,104.35
Riacho de Santo Antônio,2512788,riachoantoniense,93654,1974,18.86
Riacho dos Cavalos,2512804,riachoense,262532,8541,31.49
Rio Tinto,2512903,rio-tintense,46524,24218,49.42
Salgadinho,2513000,salgadinhense,179005,3931,19.04
Salgado de São Félix,2513109,salgadense,204079,12131,59.33
Santa Cecília,2513158,ceciliense,217577,6541,29.22
